price,room,m
320000,1,32
400000,2,34
780000,3,67
490000,2,45
531200,3,51
430000,2,55
995000,3,69
305000,1,31
160000,1,15
320000,1,33
630000,2,58
443000,2,40
660000,3,71
555000,2,44
519000,3,51
832000,4,98
898000,5,110
330000,1,24
2050000,5,133
1290000,4,104
429000,2,46
816400,3,84
1025000,5,108
779000,3,61
660000,2,49
530880,4,52
1290000,4,102
700000,4,87
560000,3,53
327000,2,31
1060000,4,84
295000,1,24
350000,1,30
485000,2,46
575000,4,69
674000,2,49
1498000,6,167
470000,2,38
450000,2,40
670000,3,41
2790000,8,245
550000,4,70
569000,3,56
710000,4,65
270300,1,23
640000,3,56
630000,2,58
632000,4,70
305000,2,32
