price,room,m²
4590000,6,333
800000,4,98
1820000,5,149
585000,2,38
2000000,4,118
145000,4,107
1170000,3,84
572000,2,55
1455000,4,141
1940000,6,150
2490000,5,147
1920000,6,174
1650000,5,115
540000,2,50
3500000,8,224
950000,4,101
1695050,6,137
440000,2,42
1500000,4,86
4700000,6,174
3500000,7,226
2120000,5,150
1750000,6,160
740000,4,55
3155000,6,170
3100000,5,164
380000,2,36
780000,3,70
850000,3,69
2288000,4,131
1975000,3,75
546000,2,47
651000,2,43
1990000,4,154
765000,4,83
615000,2,46
329000,1,26
925000,3,92
886000,2,58
